module_guess,relative_dir,n_files,n_matlab_files,n_mat_files,n_csv_tsv_txt_xlsx_files,n_zip_files,n_subject_like_files,key_scripts_found,data_files_found,readme_or_instruction_files_found,likely_inputs,likely_outputs,notes
unknown,.,94,78,4,2,0,4,Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m;Force_Scripts/1BehavioralData/ExtractData.m;Force_Scripts/1BehavioralData/ExtractData_HC.m;Force_Scripts/1BehavioralData/Forceparameters.m;Force_Scripts/1BehavioralData/Forces_across.m;Force_Scripts/1BehavioralData/Forces_within.m;Force_Scripts/1BehavioralData/GetEvents_HC.m;Force_Scripts/1BehavioralData/GetEvents_PD.m;Force_Scripts/1BehavioralData/GetForce_HC.m;Force_Scripts/1BehavioralData/GetForce_PD.m;Force_Scripts/1BehavioralData/PlotStats.m;Force_Scripts/1BehavioralData/Stat_within.m;Force_Scripts/1BehavioralData/stat_across.m;Force_Scripts/2LocalFieldPotentialData/EpochData_TF.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_FirstLevel.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_SecondLevel_LME.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_SecondLevel_PlotSpectra.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_SecondLevel_controlLME.m;Force_Scripts/2LocalFieldPotentialData/MakeMontage_AllBipolar.m;Force_Scripts/2LocalFieldPotentialData/PermTests_LME.m;Force_Scripts/3DBSEffectsBehavior/ExtractData.m;Force_Scripts/3DBSEffectsBehavior/Forceparameters.m;Force_Scripts/3DBSEffectsBehavior/Forces_across.m;Force_Scripts/3DBSEffectsBehavior/Forces_within.m;Force_Scripts/3DBSEffectsBehavior/GetEvents_Stim.m;Force_Scripts/3DBSEffectsBehavior/GetForce_Stim.m;Force_Scripts/3DBSEffectsBehavior/GetStimProperties.m;Force_Scripts/3DBSEffectsBehavior/GetToS.m;Force_Scripts/3DBSEffectsBehavior/PermTests_ToS.m;Force_Scripts/3DBSEffectsBehavior/PlotToS.m,Force_Scripts/ExampleData/Kont01_Newevents.mat;Force_Scripts/ExampleData/Kont01_RL_Force.mat;Force_Scripts/ExampleData/Kont02_Newevents.mat;Force_Scripts/ExampleData/Kont02_RL_Force.mat,Force_Scripts/Description.rtf;__MACOSX/Force_Scripts/._Description.rtf,"Mm = importfile([path, 'csv_files/', Pfile.name]);/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Behavioral/;/Users/gro8s/Documents/Post-doc2/Analyses/Scripts/General;Kont01;Kont02;Kont03;Kont04;Kont06;Kont07;Kont08;Kont09;Kont10;Kont11;Kont12;Kont13;Kont14;M = importfile([path, 'csv_files/', Pfile.name]);/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/;PD11;PD12;PD13","% save matrix (saved in BehAna scripts) with 5 columns for electrophysiology;OptimalForce_all=Events(:,2);% save this to have optimal force also for invalid trials;% Import from csv and save as mat.;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'.mat'],'M');save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'_events.mat'],'Events');savefiles=1;% save files?;% save mean values;%Make matrix with events and force measures. Also save triggers at peak;save([Eventpath,sprintf(Subjectlist{Subj}),'_ForceEvents.mat'],'EventsPeakForce_valid', 'EventsPeakForce');save([DirName,sprintf(Subjectlist{Subj}),'_ForceTrials.mat'],'RespTrialb');%save 2nd level behavioral measures;save([Eventpath2,'HC_Behavior.mat'],'Acc_S','Valuesum_S','mForce_All','semForce_All','PeakForcem','PeakForceRatem','MinForceRatem','AUCForcem','PFY','RT','ActA', 'ActA_sem', 'Ac...",includes macOS metadata files
unknown,Force_Scripts,49,39,4,1,0,4,Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m;Force_Scripts/1BehavioralData/ExtractData.m;Force_Scripts/1BehavioralData/ExtractData_HC.m;Force_Scripts/1BehavioralData/Forceparameters.m;Force_Scripts/1BehavioralData/Forces_across.m;Force_Scripts/1BehavioralData/Forces_within.m;Force_Scripts/1BehavioralData/GetEvents_HC.m;Force_Scripts/1BehavioralData/GetEvents_PD.m;Force_Scripts/1BehavioralData/GetForce_HC.m;Force_Scripts/1BehavioralData/GetForce_PD.m;Force_Scripts/1BehavioralData/PlotStats.m;Force_Scripts/1BehavioralData/Stat_within.m;Force_Scripts/1BehavioralData/stat_across.m;Force_Scripts/2LocalFieldPotentialData/EpochData_TF.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_FirstLevel.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_SecondLevel_LME.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_SecondLevel_PlotSpectra.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_SecondLevel_controlLME.m;Force_Scripts/2LocalFieldPotentialData/MakeMontage_AllBipolar.m;Force_Scripts/2LocalFieldPotentialData/PermTests_LME.m;Force_Scripts/3DBSEffectsBehavior/ExtractData.m;Force_Scripts/3DBSEffectsBehavior/Forceparameters.m;Force_Scripts/3DBSEffectsBehavior/Forces_across.m;Force_Scripts/3DBSEffectsBehavior/Forces_within.m;Force_Scripts/3DBSEffectsBehavior/GetEvents_Stim.m;Force_Scripts/3DBSEffectsBehavior/GetForce_Stim.m;Force_Scripts/3DBSEffectsBehavior/GetStimProperties.m;Force_Scripts/3DBSEffectsBehavior/GetToS.m;Force_Scripts/3DBSEffectsBehavior/PermTests_ToS.m;Force_Scripts/3DBSEffectsBehavior/PlotToS.m,Force_Scripts/ExampleData/Kont01_Newevents.mat;Force_Scripts/ExampleData/Kont01_RL_Force.mat;Force_Scripts/ExampleData/Kont02_Newevents.mat;Force_Scripts/ExampleData/Kont02_RL_Force.mat,Force_Scripts/Description.rtf,"Mm = importfile([path, 'csv_files/', Pfile.name]);/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Behavioral/;/Users/gro8s/Documents/Post-doc2/Analyses/Scripts/General;Kont01;Kont02;Kont03;Kont04;Kont06;Kont07;Kont08;Kont09;Kont10;Kont11;Kont12;Kont13;Kont14;M = importfile([path, 'csv_files/', Pfile.name]);/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/;PD11;PD12;PD13","% save matrix (saved in BehAna scripts) with 5 columns for electrophysiology;OptimalForce_all=Events(:,2);% save this to have optimal force also for invalid trials;% Import from csv and save as mat.;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'.mat'],'M');save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'_events.mat'],'Events');savefiles=1;% save files?;% save mean values;%Make matrix with events and force measures. Also save triggers at peak;save([Eventpath,sprintf(Subjectlist{Subj}),'_ForceEvents.mat'],'EventsPeakForce_valid', 'EventsPeakForce');save([DirName,sprintf(Subjectlist{Subj}),'_ForceTrials.mat'],'RespTrialb');%save 2nd level behavioral measures;save([Eventpath2,'HC_Behavior.mat'],'Acc_S','Valuesum_S','mForce_All','semForce_All','PeakForcem','PeakForceRatem','MinForceRatem','AUCForcem','PFY','RT','ActA', 'ActA_sem', 'Ac...",includes macOS metadata files
Behavioral force analysis / Figure 1,Force_Scripts/1BehavioralData,14,13,0,0,0,0,Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m;Force_Scripts/1BehavioralData/ExtractData.m;Force_Scripts/1BehavioralData/ExtractData_HC.m;Force_Scripts/1BehavioralData/Forceparameters.m;Force_Scripts/1BehavioralData/Forces_across.m;Force_Scripts/1BehavioralData/Forces_within.m;Force_Scripts/1BehavioralData/GetEvents_HC.m;Force_Scripts/1BehavioralData/GetEvents_PD.m;Force_Scripts/1BehavioralData/GetForce_HC.m;Force_Scripts/1BehavioralData/GetForce_PD.m;Force_Scripts/1BehavioralData/PlotStats.m;Force_Scripts/1BehavioralData/Stat_within.m;Force_Scripts/1BehavioralData/stat_across.m,,,"Mm = importfile([path, 'csv_files/', Pfile.name]);/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Behavioral/;/Users/gro8s/Documents/Post-doc2/Analyses/Scripts/General;Kont01;Kont02;Kont03;Kont04;Kont06;Kont07;Kont08;Kont09;Kont10;Kont11;Kont12;Kont13;Kont14;M = importfile([path, 'csv_files/', Pfile.name]);/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/;PD11;PD12;PD13","% save matrix (saved in BehAna scripts) with 5 columns for electrophysiology;OptimalForce_all=Events(:,2);% save this to have optimal force also for invalid trials;% Import from csv and save as mat.;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'.mat'],'M');save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'_events.mat'],'Events');savefiles=1;% save files?;% save mean values;%Make matrix with events and force measures. Also save triggers at peak;save([Eventpath,sprintf(Subjectlist{Subj}),'_ForceEvents.mat'],'EventsPeakForce_valid', 'EventsPeakForce');save([DirName,sprintf(Subjectlist{Subj}),'_ForceTrials.mat'],'RespTrialb');%save 2nd level behavioral measures;save([Eventpath2,'HC_Behavior.mat'],'Acc_S','Valuesum_S','mForce_All','semForce_All','PeakForcem','PeakForceRatem','MinForceRatem','AUCForcem','PFY','RT','ActA', 'ActA_sem', 'Ac...",includes macOS metadata files
STN LFP first/second-level analysis / Figures 2 and 3,Force_Scripts/2LocalFieldPotentialData,8,7,0,0,0,0,Force_Scripts/2LocalFieldPotentialData/EpochData_TF.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_FirstLevel.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_SecondLevel_LME.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_SecondLevel_PlotSpectra.m;Force_Scripts/2LocalFieldPotentialData/GetLFP_SecondLevel_controlLME.m;Force_Scripts/2LocalFieldPotentialData/MakeMontage_AllBipolar.m;Force_Scripts/2LocalFieldPotentialData/PermTests_LME.m,,,"load([DirName,'/BestChannels_Two.mat']);%% load data;load([TrialDirName,'/',sprintf(Subjectlist{Subj}),'_RL_Force.mat']);load([Eventpath,sprintf(Subjectlist{Subj}),'_Forceevents.mat']);/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/EEG;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Force/mat_files;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/mat_files/;PD11;PD12;PD13;PD14;PD15;PD16;PD17;PD18;PD19;PD20;PD21;PD22;load([DirName,'/BetaBand.mat']);% for individual beta frequencies;% load behavioral single trial data;load([DirName,'/',sprintf(Subjectlist{Subj}),'/TF/',sprintf(Subjectlist{Subj}),'_Spectra_1.mat']);load([DirName,'/',sprintf(Subjectlist{Subj}),'/TF/',sprintf(Subjectlist{Subj}),'_Spectra_3.mat'])","%% save Spectra;save([DirName,'/',sprintf(Subjectlist{Subj}),'/TF/',sprintf(Subjectlist{Subj}),'_Spectra_',num2str(Align),'.mat'],'RL_LFPdpbee');% (v) save z-scores beta for each subject;% save for visual reference in Stim-LFP analysis;save([DirName, '/BetaMove_off.mat'],'OFF_Beta_mean', 'OFF_Beta_sem', 'OFF_AllBetac');save([DirName, '/BetaValue_off.mat'],'OFF_Beta_mean', 'OFF_Beta_sem', 'OFF_AllBetac');% (v) save z-scores for each subject",includes macOS metadata files
DBS timing effects on behavior / Figures 4 and 5,Force_Scripts/3DBSEffectsBehavior,15,14,0,0,0,0,Force_Scripts/3DBSEffectsBehavior/ExtractData.m;Force_Scripts/3DBSEffectsBehavior/Forceparameters.m;Force_Scripts/3DBSEffectsBehavior/Forces_across.m;Force_Scripts/3DBSEffectsBehavior/Forces_within.m;Force_Scripts/3DBSEffectsBehavior/GetEvents_Stim.m;Force_Scripts/3DBSEffectsBehavior/GetForce_Stim.m;Force_Scripts/3DBSEffectsBehavior/GetStimProperties.m;Force_Scripts/3DBSEffectsBehavior/GetToS.m;Force_Scripts/3DBSEffectsBehavior/PermTests_ToS.m;Force_Scripts/3DBSEffectsBehavior/PlotToS.m;Force_Scripts/3DBSEffectsBehavior/ToS_DownsampleBinaryRemoveRamp.m;Force_Scripts/3DBSEffectsBehavior/ToS_NoCur.m;Force_Scripts/3DBSEffectsBehavior/ToS_WindowedStim.m;Force_Scripts/3DBSEffectsBehavior/ToS_Windowed_nexttrial.m,,,"M = importfile([path, 'csv_files/', Pfile.name]);/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/;/Users/gro8s/Documents/Post-doc2/Analyses/Scripts/General;PD11;PD12;PD13;PD15;PD16;PD18;PD19;PD20;PD21;PD22;PD23;PD24;PD25;load(FileName);load([Eventpath,sprintf(Subjectlist_Stim{Subj}),'_Stim_Newevents.mat']);/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Force/mat_files/;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/mat_files/;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/SecondLevel/","% save matrix (saved in BehAna scripts) with 5 columns for electrophysiology;OptimalForce_all=Events(:,2);% save this to have optimal force also for invalid trials;% Import from csv and save as mat.;save([path,'mat_files/',sprintf(Subjectlist_Stim{z_subj}),'_Stim.mat'],'M');save([path,'mat_files/',sprintf(Subjectlist_Stim{z_subj}),'_Stim_events.mat'],'Events');savefiles=1;% save files?;%Make matrix with events and force measures. Also save triggers at peak;% save single trials for stats;save([Eventpath,sprintf(Subjectlist_Stim{Subj}),'_Stim_ForceEvents.mat'],'EventsPeakForce_valid', 'EventsPeakForce');save([DirName,sprintf(Subjectlist_Stim{Subj}),'_Stim_ForceTrials.mat'],'RespTrialb');writetable(Matrix_nt,'/Users/gro8s/Documents/BayesianStats/Rethinking/Force_Stim_nt.csv');% save the file with onsets of trigIN and trigOut;save([DirName,sprintf(Subjectlist{Subj}),'_Trigchannel.mat'],'TrigIN','TrigOut');save([DirName,'StimProp.mat'], 'Interval', 'Duration');% save DBS channel;save([DirName,sprintf(Subjectlist{Subj}),'_DBSchannel.mat'],'StimON');save([DirName,'StimWindow.mat'],'StimBehaviour','StimAbs','StimAv','StimSingleTrials','StimTask')",includes macOS metadata files
DBS timing effects on STN LFP / Figures 4 and 5,Force_Scripts/4DBSEffectsLocalFieldPotential,6,5,0,0,0,0,Force_Scripts/4DBSEffectsLocalFieldPotential/GetLFP_FirstLevel_Stim.m;Force_Scripts/4DBSEffectsLocalFieldPotential/GetLFP_FirstLevel_Stim_TrigOnset.m;Force_Scripts/4DBSEffectsLocalFieldPotential/GetLFP_SecondLevel_Stim.m;Force_Scripts/4DBSEffectsLocalFieldPotential/GetLFP_SecondLevel_Stim_TrigOnset.m;Force_Scripts/4DBSEffectsLocalFieldPotential/PermTests_ToS.m,,,"% load data and pre-process;load([TrialDirName,'/',sprintf(Subjectlist{Subj}),'_RL_ForceStim.mat']);load([Eventpath,sprintf(Subjectlist{Subj}),'_Stim_Forceevents.mat']);load([DirName,'/BetaBand_Stim.mat']);/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/EEG;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Force/mat_files;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/mat_files/;PD11;PD12;PD13;PD15;PD16;PD18;PD19;PD20;PD21;PD22;PD23;PD24;% Load and preprocess LFPs;load([DBSDirName,'/',sprintf(Subjectlist{Subj}),'_Trigchannel.mat']);/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/StimulationBursts/mat_files","%% save Spectra;save([DirName,'/',sprintf(Subjectlist{Subj}),'/TF/',sprintf(Subjectlist{Subj}),'_Spectra_Stim_',num2str(Align),'.mat'],'RL_LFPdpbee');% save Spectra;save([DirName,'/',sprintf(Subjectlist{Subj}),'/TF/',sprintf(Subjectlist{Subj}),'_Spectra_Stim_TrigOn.mat'],'DBS_LFPea','DBS_LFPbea')",includes macOS metadata files
Example behavioral data,Force_Scripts/ExampleData,4,0,4,0,0,4,,Force_Scripts/ExampleData/Kont01_Newevents.mat;Force_Scripts/ExampleData/Kont01_RL_Force.mat;Force_Scripts/ExampleData/Kont02_Newevents.mat;Force_Scripts/ExampleData/Kont02_RL_Force.mat,,,,
macos_metadata,__MACOSX,45,39,0,1,0,0,,,__MACOSX/Force_Scripts/._Description.rtf,,,includes macOS metadata files
macos_metadata,__MACOSX/Force_Scripts,45,39,0,1,0,0,,,__MACOSX/Force_Scripts/._Description.rtf,,,includes macOS metadata files
macos_metadata,__MACOSX/Force_Scripts/1BehavioralData,14,13,0,0,0,0,,,,,,includes macOS metadata files
macos_metadata,__MACOSX/Force_Scripts/2LocalFieldPotentialData,8,7,0,0,0,0,,,,,,includes macOS metadata files
macos_metadata,__MACOSX/Force_Scripts/3DBSEffectsBehavior,15,14,0,0,0,0,,,,,,includes macOS metadata files
macos_metadata,__MACOSX/Force_Scripts/4DBSEffectsLocalFieldPotential,6,5,0,0,0,0,,,,,,includes macOS metadata files
