subject_id,n_rows,positive_fraction,phase6a0_pearson_if_available,best_loso_pearson,best_loso_spearman,best_within_subject_pearson,best_tau_loso,best_tau_within_subject,best_model,best_feature_set,beta_baseline_pearson,improvement_over_beta,responder_class,notes
sub-0cGdk9,30987,0.4647110104560852,0.1917201463426621,0.9735675959461194,0.9732108457016717,0.719176773239416,5000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.38160945467739826,0.5919581412687211,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-2IU8mi,37666,0.48210588097572327,0.272288676852427,0.9450348215101531,0.9423698770709096,0.7700986385561844,5000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.3411607971313585,0.6038740243787946,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-2IhVOz,37219,0.43340766429901123,0.3340875373574127,0.8680762905892438,0.8335569678316453,0.6751603095187595,200.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.23449290248533528,0.6335833881039086,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-6m9kB5,17836,0.34632205963134766,0.6419531974896172,0.8537157677608673,0.8717982328028479,0.6048028246103636,5000.0,5000.0,numpy_ridge_fallback,top_k_train_only_100,0.06432171041701086,0.807476522385837,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-8RgPiG,43690,0.44419774413108826,0.2281872881089648,0.9352157812779784,0.9262918250660984,0.7954706088782366,5000.0,5000.0,sklearn_logistic_l2_balanced,top_k_train_only_50,0.29853910606471146,0.636676675213267,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-AB2PeX,42042,0.45590123534202576,0.272063939972026,0.9329285444312506,0.9334691913164609,0.7298854511474928,3000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.37653679396755907,0.5254999835503887,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-AbzsOg,50023,0.5014293193817139,0.2891035234353034,0.9577077426934993,0.9569952677231648,0.7054251287219595,5000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.3548889045995458,0.600508685250805,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-BYJoWR,33587,0.4076577126979828,0.1638747840303889,0.8651873636185261,0.8785650442472914,0.6511808469233301,5000.0,5000.0,numpy_ridge_fallback,top_k_train_only_25,0.18131157630657443,0.697253467940717,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-FIyfdR,25355,0.4698481559753418,0.163944229756479,0.9664073046099385,0.9630933646040165,0.7720311342627502,5000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.3663043586152758,0.5687378488378836,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-FYbcap,34794,0.435506135225296,0.2840345520362297,0.8865897353211587,0.8998141314914999,0.6405485700523981,5000.0,5000.0,numpy_ridge_fallback,top_k_train_only_100,0.2077060521552757,0.6921080793362242,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-PuPVlx,47375,0.4629656970500946,0.1991208440077409,0.9590087653745727,0.9573341716778335,0.73203048288106,5000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.3420880432389295,0.6058688499723117,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-QZTsn6,35177,0.4611251652240753,0.241603843935713,0.9038866865526897,0.9047379948599555,0.7494392988869883,1500.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.28473068572754523,0.6200073091324103,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-VopvKx,37492,0.45777764916419983,0.2757041210805335,0.9471040962194602,0.940059932504892,0.7578339306911211,5000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.352021415081127,0.5863683157738523,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-dCsWjQ,19124,0.5104580521583557,0.0588755622365428,0.9476029190370204,0.9495907878661579,0.6835729116650385,5000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.34154032979979787,0.60805045806636,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-gNX5yb,42858,0.40018200874328613,0.194503435561642,0.8678533577203477,0.879857096021784,0.664104489993351,5000.0,3000.0,numpy_ridge_fallback,top_k_train_only_25,0.2049044548826557,0.6749526411391282,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-hnetKS,35629,0.47085240483283997,0.2563357035467554,0.9414945649579859,0.9472337158170047,0.738440995628563,5000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.33560648342334487,0.5964162580013731,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-i4oK0F,24436,0.4714355766773224,0.227107172677806,0.9274709918024387,0.9174131793223874,0.758472609067292,5000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.4101450861163901,0.5075709266657014,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-iDpl28,35798,0.3533158302307129,0.4498537083413533,0.8568158997851849,0.8633668841340838,0.6180210468731951,5000.0,3000.0,numpy_ridge_fallback,top_k_train_only_25,0.16716795044769187,0.696198933686392,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-jyC0j3,34640,0.37283486127853394,0.2346461178101543,0.8231853986754902,0.7365817226388217,0.7053678611256528,200.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.14940817339974846,0.6737772252757418,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
sub-oLNpHd,24360,0.4471674859523773,0.2996869081498032,0.9097567443805298,0.9099724823215262,0.6519841409819103,5000.0,5000.0,sklearn_gradient_boosting_ceiling,top_k_train_only_25,0.39039683965890815,0.519575642662618,high_trackable,best LOSO row selected by max Pearson/Spearman across models/tau; pseudo-burden if table is non-continuous
