support_row_id	source_artifact	reference_location	reference_text	fp_min_reference	recall_reference	latency_reference	early_warning_reference	one_alarm_reference	closed_loop_reference	dbs_control_reference	classification	target_implication	support_status	qc_status	qc_reason	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate
support_001	README.md	L5-L12;L47-L52	Current roadmap says old onset interval long-burst and burden target paths are negative and Phase 5_2C should precede Phase 6 or hardware.	controlled low-false-positive event recovery referenced	NA	NA	NA	NA	NA	DYNAP-SE1 hardware target referenced	historical_reference	Supports need for a Phase 5_2C engineering gate but does not define numeric event recall or FP/min acceptance.	direct	ok	NA	README.md	target,low-false-positive,hardware	Phase 5_2C event-target decision package source audit	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_002	docs/PHASE5_2C_ARCHITECTURE_ADR.md	L64-L71	Future Stage F primary operating metric is event-level recall at a false-positive-per-minute gate; negative latency is early-warning candidate-state evidence not committed alarm success.	FP/min gate named	no numeric recall target	latency interpretation present	negative latency policy present	NA	NA	NA	historical_reference	Directly supports the metric family and timing policy for Phase 5_2C but does not define a numeric pass or fail target.	direct	ok	NA	PHASE5_2C_ARCHITECTURE_ADR.md	event-level recall,FP/min,latency,early-warning	Phase 5_2C event-target decision package source audit	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_003	docs/PHASE5_2C_EVENT_SCORING_TARGET_ADR.md	L9-L15	Existing ADR states explicit target status is unavailable; Stage F reports FP/min grid 0.5 1.0 2.0 5.0 plus AUROC AUPRC latency early-warning latency and one-alarm-per-burst fraction.	0.5;1.0;2.0;5.0	reported not gated	reported relative to Phase 3 onset	reported separately	reported	NA	NA	diagnostic_metric_only	Defines the reporting grid and policy but explicitly does not approve a target.	direct	warning	target_status remains unavailable	event_scoring_policy.tsv;PHASE5_2C_EVENT_SCORING_TARGET_ADR.md	target_status,primary_fp_min_grid,primary_event_metric,secondary_metrics	Phase 5_2C event-target decision package source audit	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_004	configs/phase5_2c.yaml	L106-L109	Stage F config provides fp_per_min_grid [0.5 1.0 2.0 5.0] and project_target_available false.	0.5;1.0;2.0;5.0	NA	NA	NA	NA	NA	NA	diagnostic_metric_only	Config confirms the grid is for reporting not a current target.	direct	warning	project_target_available is false	configs/phase5_2c.yaml	stage_f.fp_per_min_grid,stage_f.project_target_available	Phase 5_2C event-target decision package source audit	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_005	docs/decisions.md	L353-L361	Older Phase 5 closeout mentioned AUC >=0.85 and latency <=50 ms as missed primary targets.	NA	NA	<=50 ms	NA	NA	NA	NA	insufficient_for_target	Useful historical context but not an event-level recall-at-FP/min target for Phase 5_2C.	direct	ok	NA	decisions.md	AUC,latency,target	Phase 5_2C event-target decision package source audit	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_006	docs/PHASE5_RUNBOOK.md	L593-L602;L637-L644	Dense and high-throughput branches report recall at <=1 FP/min and best event F1; prior branches failed controlled low-FP recovery.	<=1 FP/min	historical recalls around 0.0,0.051,0.078	NA	NA	NA	NA	NA	historical_reference	Prior low-FP controlled recall values provide context but they are from different branches and do not set a Phase 5_2C target.	direct	ok	NA	PHASE5_RUNBOOK.md	recall,FP/min,event F1	Phase 5_2C event-target decision package source audit	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_007	docs/PHASE5Y_TARGET_RECONCILIATION.md	L48-L53	Phase 5Y describes one-alarm-per-burst behavior and strict controlled-FP columns where no threshold reaching FP/min cap yields zero controlled recall or F1.	controlled FP/min cap	controlled recall/F1	NA	NA	one-alarm-per-burst behavior	online-control target reconciliation	NA	historical_reference	Supports strict treatment of controlled-FP failure and one-alarm-per-burst reporting but not a numeric Phase 5_2C gate.	direct	ok	NA	PHASE5Y_TARGET_RECONCILIATION.md	controlled FP,recall,F1,one-alarm-per-burst	Phase 5_2C event-target decision package source audit	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_008	configs/phase5_training_teacher.yaml	L15-L23	Prior training-teacher config uses recall_at_fp_per_min_le_1_min 0.65 with AUC min 0.90.	<=1 FP/min	0.65	early_grace_ms=50;late_tolerance_ms=200	early_grace_ms=50	NA	NA	NA	explicit_target	Explicit for a prior training teacher stage only; too strict and not adopted as Phase 5_2C without owner approval.	direct	warning	prior-stage target is not automatically transferable	configs/phase5_training_teacher.yaml	event_targets,gate	Phase 5_2C event-target decision package source audit	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_009	configs/phase5_dense_teacher.yaml	L14-L22	Prior dense teacher config uses recall_at_fp_per_min_le_1_min 0.50 with event_f1_min 0.50.	<=1 FP/min	0.50	early_grace_ms=50;late_tolerance_ms=200	early_grace_ms=50	NA	NA	NA	explicit_target	Explicit for a dense teacher branch only; current Stage F event recalls are far lower and this is not adopted as Phase 5_2C.	direct	warning	prior-stage target is not automatically transferable	configs/phase5_dense_teacher.yaml	event_targets,gate	Phase 5_2C event-target decision package source audit	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_010	configs/phase5_ht_hardware_aware.yaml;configs/phase5w_hardware_aware.yaml	L3-L4;L10-L12	Prior hardware-aware configs used low-FP recall thresholds 0.10 or 0.05 and event F1 thresholds 0.15.	<=1 FP/min	0.05_to_0.10	NA	NA	NA	NA	DYNAP hardware-aware context	historical_reference	Useful as lower-bound engineering precedent but still from earlier phases and not an approved Phase 5_2C target.	direct	warning	prior-stage target is not automatically transferable	configs/phase5_ht_hardware_aware.yaml;configs/phase5w_hardware_aware.yaml	candidate_min_recall_at_fp1,min_recall_at_fp_per_min_le_1	Phase 5_2C event-target decision package source audit	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_011	causal_three_tier_event_summary.tsv	Stage F event summary	At FP/min 2.0 Tier 1 recall is 0.039319 Tier 2 recall is 0.039554 Tier 3 median recall is 0.039368 and Tier 3 5th percentile recall is 0.039159.	2.0	observed robust recall around 0.039	median committed latency about 150 ms	early-warning latency reported in tier tables not summarized for Tier 3 median	one-alarm-per-burst median 0.038829	NA	NA	diagnostic_metric_only	Supports a balanced engineering candidate gate for G/H/I execution if owner approves the gate.	proxy	warning	Stage F metrics are pre-Brian2 event reconstruction not final detector or clinical evidence	causal_three_tier_event_summary.tsv	AUROC_median,recall_median,tier3_recall_5th_percentile,F1_median,one_alarm_per_burst_fraction_median	Phase 5_2C event-target decision package metric support	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
support_012	causal_event_alarm_trace_summary.tsv	untracked_subject_level_summary	Subject-level worst cases are available only in the untracked alarm-trace summary that contains pseudonymous subject IDs; this package does not duplicate those rows.	NA	NA	NA	NA	NA	NA	NA	diagnostic_metric_only	Per-subject worst-case rows should be reviewed from the untracked artifact only when owner explicitly accepts subject-level artifact handling.	proxy	warning	subject-level rows not copied into tracked decision package	causal_event_alarm_trace_summary.tsv	subject_id,recall,F1,one_alarm_per_burst_fraction	Phase 5_2C event-target decision package caveat	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
